,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO
abalone-17_vs_7-8-9-10,49.85,75.51,75.22,73.17,69.01,64.99,67.25,81.21,74.71,61.77,65.28,81.36,63.23,78.65,80.56,74.63,75.8,50,50,80.48,81.94,50,67.25,73.83,69.74,64.18,57.16,66.67,59.94,69.74,70.1,66.67,55.04,72.08,61.62,69.96,71.42,80.92,80.48,78.8,77.19,90.86,59.14,78.44,81.14,79.24,61.92,86.04
abalone-19_vs_10-11-12-13,50,49.16,49.16,49.47,50,51.93,43.89,47.68,49.26,50.26,45.66,55.8,50,45.58,56.33,52.48,50,50,50,54.44,53.96,50,57.73,52.25,50,49.89,49.89,49.79,50,49.68,50,49.89,49.89,60.15,49.89,57.2,50,59.2,56.51,49.86,61.82,58.72,57.68,58.99,58.78,54.28,63.82,59.68
abalone19,50,48.67,48.75,49,49.96,54.84,48.35,47.47,48.67,65.15,32.77,67.73,50,50,58.14,48.67,49.72,50,50,47.59,47.87,50,50.04,55.06,53.75,50,50,58.58,50,53.55,52.34,49.68,50,72.58,47.91,73.22,50,49.76,49.84,49.56,59.19,51.17,67.32,49.68,49.8,73.85,58.2,78.41
abalone9-18,49.29,53.57,54.76,54.05,55.24,60.24,63.57,72.38,54.05,58.33,57.62,70.48,60.48,65,70.71,62.38,55.24,50,54.52,65.71,64.05,50,57.86,63.33,65,64.52,64.52,64.52,64.05,53.33,64.05,64.52,64.29,61.19,62.62,64.76,58.81,67.38,63.81,61.43,61.19,70.24,64.76,69.05,67.14,68.57,64.76,72.14
car-vgood,77.83,97.42,97.22,97.61,94.49,88.87,98.81,97.02,97.22,92.05,90.85,96.42,99.8,99.8,93.55,99.8,99.8,99.8,84.69,99.5,99.8,99.8,96.12,99.8,99.01,99.01,99.01,99.01,99.01,95.83,99.01,99.01,99.01,50,99.01,99.11,100,100,100,100,100,91.05,94.53,99.4,100,94.43,96.12,100
dermatology-6,100,100,100,100,100,97.98,100,100,100,100,98.99,100,100,100,100,100,88.89,59.09,100,94.44,100,100,100,100,78.79,83.33,80.81,83.33,83.33,96.97,78.79,83.33,81.31,88.89,94.44,83.33,100,100,100,100,100,85.35,100,100,100,100,100,100
flare-F,50,59.9,60.06,60.23,62.45,79.71,49.84,73.32,64.39,76.19,79.38,80.52,50,67.26,67.75,67.42,63.58,73.81,50,75.43,67.42,36.09,75.38,67.75,80.36,79.98,87.66,84.52,75.11,50,80.36,85.61,84.15,49.84,87.01,88.37,50,70.29,70.45,70.45,76.35,50,50,77.49,70.62,69.81,82.41,91.72
glass-0-1-6_vs_2,50,64.29,53.22,56.16,50,56.02,54.2,51.26,60.36,54.48,50.98,64.85,50,50,67.51,55.18,50,48.74,50,50,62.32,60.78,52.94,60.78,49.02,50,50,50,50,52.94,50,50,50,52.66,55.04,65.41,50,53.08,52.1,54.06,51.82,60.36,50,58.26,55.04,48.04,50,61.76
glass2,50,50.25,51.11,51.11,47.41,61.82,49.01,48.77,51.11,46.67,40.52,63.92,49.14,48.28,50,49.14,48.28,61.95,48.28,53.69,49.14,59.36,38.18,72.17,56.28,50,50,50,50,61.21,56.28,57.14,50,58.62,42.24,80.17,50,57.14,50,50,50,56.4,50,55.42,50,45.32,53.45,63.3
glass4,98.41,94.44,94.44,94.44,97.62,62.7,93.65,95.24,94.44,93.65,88.89,94.44,71.83,71.83,96.03,46.03,72.62,90.48,40.87,72.62,75,96.03,67.46,74.21,65.87,69.84,67.46,69.84,89.68,50,53.17,66.67,69.84,51.59,56.35,66.67,74.21,75,75,75,75,50,71.83,98.41,75,72.62,87.3,75
kddcup-buffer_overflow_vs_back,100,100,100,100,100,86.09,100,100,100,100,99.92,100,100,100,100,100,100,100,100,100,100,100,87.69,100,100,100,100,100,100,50,100,100,100,50,87.61,100,100,100,100,100,100,50,100,100,100,100,99.54,100
kr-vs-k-zero-one_vs_draw,95.88,99.53,99.53,99.53,95.82,96.27,98.87,99.47,99.53,99.35,91.77,95.82,90.44,90.44,99.17,99.17,94.21,89.75,63.98,95.59,86.68,64.75,95.44,52.01,89.45,90.64,81.94,82.18,87.17,65.17,79.34,90.64,91.29,50,88.86,50,85.07,95.64,93.85,93.79,88.47,50,94.76,97.38,95.59,97.5,95.56,97.44
page-blocks-1-3_vs_4,93.75,93.75,93.75,93.75,87.5,50,79.94,91.88,93.75,93,86.57,99.63,93.75,75,75,90.76,75,91.04,100,70.15,100,98.51,88.9,100,72.39,66.14,66.14,72.39,61.38,50,72.39,71.64,66.14,72.39,86.29,72.39,68.75,92.63,93.38,87.13,93,55.97,93.38,86.38,92.26,92.26,77.99,93
poker-8-9_vs_5,49.92,71.02,59.65,72.07,49.76,83.34,79.29,82.22,59.74,48.78,62.06,53.73,50,58.26,55.25,59.25,49.19,53.28,54.35,66.71,55.42,69.37,51.67,70.1,54.53,58.17,52.58,50.29,49.26,57.57,43.95,57.44,53.31,57.77,49.73,57.61,50,70.61,64.68,71.42,49.67,79.94,65.99,69.47,65.17,66.39,58.16,66.23
poker-8-9_vs_6,90,99.66,99.66,99.77,60,83.79,98.19,98.75,99.66,89.66,75.51,89.32,50,88.64,78.98,69.09,49.89,50,78.12,68.3,58.53,50.48,44.33,52.97,42.4,66.15,42.52,38.1,49.77,50,45.99,65.58,41.38,41.95,47.3,51.61,90,90,100,100,50,50.45,100,100,100,100,83.56,100
poker-8_vs_6,80,99.54,99.43,89.66,70,79.86,98.75,98.97,99.43,89.89,73.8,89.89,50,68.41,56.24,48.06,49.66,34.58,83.14,76.92,88.06,44.31,80.18,89.64,50.77,53.28,43.39,53.85,47.38,36.74,43.26,51.46,52.37,48.38,46.45,52.6,70,100,90,100,59.89,69.2,100,100,90,100,71.98,100
shuttle-c0-vs-c4,100,50.87,50.67,50.67,55,50,50,50.67,50.77,55,99.71,55,99.52,99.52,99.81,99.81,99.81,50,82.5,99.52,99.52,99.81,98.65,99.81,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,97.98,55.38,100,100,98.94,100,100
vowel0,95.71,97.14,97.14,97.14,97.14,95.8,98.66,96.95,97.14,98.38,87.61,97.14,96.76,87.62,90.86,90.86,96,54.2,69.66,90.86,82.86,45.05,93.51,89.05,88.75,89.13,88.56,89.23,88.18,83.4,88.93,89.13,89.13,88.18,91.03,88.94,100,100,100,100,100,62.6,94.47,100,100,99.62,92.56,100
winequality-red-3_vs_5,50,78.94,78.94,80.16,50,55.61,78.78,78.46,78.7,56.91,80.73,65.2,66.42,45.61,44.63,47.32,66.42,50,60.49,63.01,46.83,23.17,64.31,65.93,75.77,75.04,74.07,61.06,50,50,50.24,72.36,74.8,50.49,90.24,87.32,50,80.41,80.65,79.43,66.42,54.39,70.73,80.41,80.65,64.72,63.98,80.16
winequality-red-4,49.89,51.08,50.65,46.77,49.68,50.86,56.34,50,54.95,50.86,70.32,55.91,50,45.81,48.39,61.18,49.78,50.11,50.32,50.65,43.87,41.4,63.66,55.38,59.89,63.33,59.57,62.04,49.89,50,50.43,62.47,59.78,51.94,37.31,64.3,50,56.02,52.15,57.74,52.47,50.11,50.43,66.88,50.32,61.83,61.61,68.92
winequality-red-8_vs_6,50,61.17,61.43,56.5,57.55,60.99,72.77,58.03,61.17,71.55,69.42,62.48,48.95,62.74,55.72,57.02,58.33,51.05,47.95,64.05,64.57,57.5,62.39,70.55,68.19,61.69,62.48,56.76,58.33,50,50,60.91,62.74,52.62,71.55,67.67,50,52.84,53.1,55.45,56.5,50,51.31,51.79,53.36,62.96,80.93,68.98
winequality-white-3-9_vs_5,50,68.03,67.92,55.56,55.56,41.18,50.55,60.18,67.23,63.33,68.6,70.21,75.03,53.36,56.41,62.77,55.56,50,54.93,55.89,51.48,50.48,59.9,68,73.41,73.41,73.52,59.85,55.56,50,50,71.46,73.52,50.23,74.62,79.08,50,65.56,73.75,74.68,55.56,50.11,50.46,72.2,61.15,65.66,72.85,65.8
winequality-white-3_vs_7,66.67,64.79,64.23,52.81,65.92,50,37.83,67.04,65.17,65.92,68.16,69.29,74.72,82.4,64.61,54.87,66.48,50,50.19,52.06,65.54,57.68,50.94,79.21,57.3,58.24,58.24,60.86,74.72,50,50,59.74,58.99,50.75,50.75,57.87,63.11,44.76,44.57,54.49,83.33,53,51.69,43.45,45.13,66.1,60.11,80.52
yeast-0-5-6-7-9_vs_4,69.09,77.96,77.96,79.73,78.72,71.1,77.25,81.38,79.02,54.08,66.02,80.79,75.65,68.26,62.71,67.2,66.96,50.35,52.07,80.67,66.19,45.51,70.39,70.74,47.28,49.05,47.34,48.7,47.99,49.65,48.35,47.7,46.99,73.11,62,77.42,68.38,77.96,79.67,76.89,79.02,76.42,84.52,78.61,80.08,68.2,77.96,80.32
yeast-1-2-8-9_vs_7,54.82,52.64,52.45,58.91,54.45,62.91,54.18,51,52.09,58.18,56.55,69.45,58.91,59.27,56.18,50.09,53.73,50.55,58.91,63.82,56.64,50.55,53.27,66.36,54.36,59.09,55.36,56,53.27,54.45,58.36,55.55,54.27,58.55,57.82,71.09,50,52.64,56.73,52.82,53.18,73.18,53.36,56.18,57.64,55.27,58.45,80.18
yeast-1-4-5-8_vs_7,50,75.8,81.6,63.9,60.11,72.81,60.39,79.59,75.04,58.26,54.08,76.8,50,52.82,55.36,51.54,48.99,50.5,50,58.63,50.31,50.5,46.73,61.89,55.28,53.49,53.74,56,50.47,50,57.04,53.74,58.54,49.5,51.81,68.57,50,65.97,65.72,70.24,72,71.58,61.64,61.98,66,59.3,57.87,75.1
yeast-1_vs_7,56.25,74.71,72.79,77.4,68.37,69.13,68.85,69.71,73.17,64.52,67.4,71.15,68.37,62.31,62.6,75.48,60.96,50.38,49.62,66.15,63.75,50.38,72.02,71.54,57.6,53.56,53.94,51.25,67.12,72.79,70.1,52.02,53.94,53.85,71.35,62.12,50,70.48,71.63,68.46,68.08,71.83,74.71,67.79,71.63,55,62.98,78.65
yeast-2_vs_4,73.33,79.29,82.62,86.31,73.33,91.79,94.88,85.95,82.62,70,94.17,92.26,72.26,79.64,82.26,82.26,76.31,51.07,49.64,85.24,82.26,47.74,81.9,82.98,81.31,90.12,81.9,84.52,53.81,51.07,74.29,76.31,86.07,50,68.57,76.31,76.31,81.19,81.19,82.98,78.21,81.07,81.55,82.62,81.19,50,84.88,81.9
yeast-2_vs_8,74.65,84.31,84.31,72.16,73.94,73.67,82.18,83.6,84.31,61.97,73.23,84.66,75,71.81,72.16,84.66,72.87,50,75,72.87,82.89,50,75,73.58,75.18,66.49,70.39,72.87,75,51.42,74.65,75,67.91,50.35,75,75,75,74.65,60.82,59.4,64.36,87.15,74.65,72.87,74.29,78.99,75,87.15
yeast4,49.88,67.79,67.56,68.72,58.01,78.99,81.13,77.46,67.21,65.38,73.49,79.93,50,68.37,65.08,68.02,66.25,51.05,49.42,67.44,68.61,50.82,89.34,74.52,57.9,59.04,58.92,60.55,52.54,82.93,55.1,59.15,59.39,55.59,49.42,65.55,50,73.09,83.11,74.72,87.45,90.77,89.37,85,75.8,74.71,85.9,85.82
yeast6,59.09,67.15,71.69,62.83,66.8,76.59,66.57,71.35,67.03,69.89,57.71,78.14,50,67.03,71.58,62.72,63.06,50.8,50,66.46,67.03,51.03,57.2,74.86,76.09,82.63,74.36,85.16,81.48,50,75.85,82.86,81.71,82.8,57.94,82.92,59.09,85.1,84.06,71.35,71.46,83.95,79.17,79.86,80.67,72.29,76.7,83.72
ecoli-0_vs_1,87.5,89.29,89.29,89.29,87.5,94.64,94.64,89.29,89.29,96.43,87.5,89.29,89.29,89.29,89.29,89.29,89.29,96.43,96.43,87.5,89.29,96.43,91.07,92.86,83.93,83.93,83.93,82.14,80.36,50,69.64,83.93,83.93,50,75,50,87.5,92.86,89.29,91.07,92.86,50,96.43,89.29,92.86,69.27,91.07,94.64
ecoli1,89.26,92.4,87.22,85.64,83.23,90.6,89.39,85.64,90.23,89.99,93.01,91.8,82.73,85.04,79.48,78.05,84.07,51.81,84.91,84.44,73.09,50.23,87.45,86.48,90.36,85.04,87.58,87.58,85.41,85.64,83.84,88.19,87.58,78.31,88.55,86.85,85.51,88.42,90.6,90.6,87.82,86.14,90.6,91.2,89.63,83.37,85.64,91.2
ecoli2,87.89,90.6,87.33,91.74,87.33,87.76,89.47,90.6,87.33,87.63,91.61,90.6,74.08,77.36,81.77,83.22,82.34,58.65,81.77,90.03,89.47,52.4,83.22,78.5,66.04,79.11,65.34,86.63,83.22,83.48,88.33,82.08,80.81,66.04,64.77,81.95,87.33,90.6,93.31,91.17,89.47,88.33,88.33,90.6,90.6,90.03,88.2,90.6
glass-0-1-2-3_vs_4-5-6,95.37,89.81,79.63,75,93.52,55.56,56.48,69.44,78.7,75.93,94.44,88.89,74.07,70.45,52.02,55.64,56.57,60.19,55.72,88.89,54.71,86.2,60.19,70.45,54.63,53.7,52.78,51.85,52.78,50,50,50,55.56,50,59.26,50,94.44,74.07,60.19,78.7,95.37,50,52.78,59.26,77.78,55.56,93.52,91.67
glass0,52.6,56.22,53.95,53.95,55.09,74.35,57.47,53.95,57.47,58.82,58.6,67.86,52.6,48.86,54.87,50.22,46.92,63.53,54.87,53.73,53.84,52.6,54.87,67.05,50,50,50,50,50,53.41,50,50,50,52.06,50,64.66,60.88,62.23,66.4,70.83,69.7,65.26,65.26,64.39,59.96,63.8,58.39,67.42
glass1,48.72,53.85,55.77,55.77,56.41,62.82,60.9,62.18,57.69,55.77,50.64,64.1,55.77,51.92,58.33,56.41,49.36,54.49,52.56,55.13,48.72,47.44,59.62,55.77,51.28,53.85,53.85,52.56,57.05,50,53.21,51.28,51.92,49.36,50.64,50.64,58.33,58.97,53.85,57.05,52.56,46.79,60.26,58.33,53.85,55.13,54.49,57.69
glass6,98.28,83.62,68.1,68.1,86.21,67.24,58.62,91.38,83.62,82.76,93.97,95.69,99.14,63.79,97.41,70.2,100,43.72,74.14,72.41,98.28,36.58,93.1,100,93.1,96.55,85.1,87.07,78.2,50,50.86,68.1,97.41,50,93.97,96.55,65.52,60.34,57.76,59.48,97.41,50,52.59,66.38,60.34,84.48,93.1,91.38
haberman,55.62,57.71,63.55,62.4,58.29,62.98,55.62,64.67,58.98,61.5,59.66,66.98,50,61.72,64.35,52.92,58.4,56.81,50,59.41,57.03,41.64,64.92,59.12,62.83,64.2,62.83,62.83,64.2,64.2,62.83,64.89,62.83,62.83,62.83,64.89,53.21,63.88,65.39,61.14,61.03,61.72,53.21,59.3,66.4,58.62,65.25,67.77
new-thyroid1,93.95,97.17,97.17,97.17,93,87.74,91.51,97.17,93.95,97.17,83.96,97.17,93,93.95,100,94.89,93,87.34,96.23,95.83,94.89,98.11,90.57,100,94.89,90.72,90.72,90.72,90.72,86.95,98.11,90.72,90.72,94.89,78.3,99.06,95.83,97.17,97.17,98.11,94.89,84.51,93.4,98.11,98.11,97.17,85.85,98.11
new-thyroid2,100,99.07,99.07,99.07,100,96.3,99.07,100,99.07,100,98.15,100,94.53,99.07,97.22,100,99.07,86.11,95.37,98.15,99.07,99.07,98.15,99.07,94.53,94.53,94.53,99.07,94.53,43.77,97.22,99.07,94.53,99.07,99.07,99.07,99.07,99.07,99.07,99.07,99.07,90.74,99.07,99.07,99.07,99.07,97.22,99.07
page-blocks0,88.8,91.46,92.3,92.68,87.19,50,88.8,93.18,93.21,78.49,90.61,92.89,81.92,81.2,77.1,79.42,74.64,50,83.57,84.52,82.4,78.91,78.33,83.58,82.08,81.58,80.27,80.06,82.86,50,82.08,73.24,81.48,82.04,82.2,82.25,79.37,91.01,92.18,91.36,91.17,56.22,79.37,91.47,90.41,86.39,87.7,93
pima,69.22,69.09,68.69,69.84,69.76,65.82,68.21,73.37,73.94,72.87,71.91,74.69,62.43,68.42,64.08,63.11,62.06,48.57,68.45,66.41,68.09,57.75,67.25,68.77,68.37,70.92,66.66,69.17,66.98,49.64,65.86,67,67.62,69.65,69.76,71.04,72.44,70.21,68.05,67.13,71.47,58.88,70.39,63.62,70.72,70.08,68.81,75.77
vehicle0,86.89,90.16,89.64,90.16,87.69,88.21,90.84,90.16,88.81,87.22,90.19,89.36,73.72,85.53,87.2,82.02,66.31,77.25,85.85,75.08,77.99,82.07,78.58,82.85,68.06,67.46,70.14,67.8,68.01,75.52,71.34,67.8,68.84,68.87,70.77,71.03,98.44,97.66,97.4,98.18,94.93,87.21,90.62,96.33,97.66,96.88,96.88,97.66
vehicle1,59.42,70.98,66.35,65.92,66.2,65.57,67.93,69.08,69.06,68.41,69.64,69.92,50,69.06,68.5,63.78,57.93,53.33,66.38,64.94,66.91,59.59,58.73,69.14,67.14,68.42,68.14,69.14,69.14,58.49,66.58,66.3,68.63,67.78,67.85,69.14,70.03,77.16,81.66,76.38,82.01,59.38,74.05,78.18,80.87,83.3,80.18,84.58
vehicle2,94.73,94.07,93.3,93.81,94.21,87.13,92.78,87.62,93.81,93.56,88.6,94.33,92.94,96.53,90.34,97.36,93.38,54.86,95.76,90.72,94.01,92.66,94.01,96.01,83.36,87.27,77.19,72.95,75.25,50.26,80.34,79.19,81.81,83.1,80.52,85.6,95.12,94.98,95.24,95.56,94.21,62.11,93.75,92.21,95.76,95.76,93.18,95.76
vehicle3,63.58,66.82,69.48,67.37,66.54,67.41,66.57,70.56,70.29,69.2,71.87,69.71,69.01,67.65,71.37,61.02,67.6,50.52,64.86,66.58,72.12,63.94,67.14,74.2,67.37,67.63,72.14,73.19,65.79,61.47,67.66,66.6,66.31,67.37,67.12,68.18,77.08,82.41,81.14,82.94,78.76,53.36,77.16,77.72,79.29,80.35,74.84,82.96
