,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO
abalone-17_vs_7-8-9-10,0,11.81,11.63,12.5,22.86,7.32,7.44,12.29,11.32,6.54,17.07,13.49,31.25,12.8,14.29,12.33,18.05,5,5,11.88,13.93,5,11.63,15,9.01,7.85,6.45,8.75,7.07,8,8.37,8.33,6,8.97,8.57,9.09,43.24,12.12,11.88,11.85,16.99,22.36,6.05,10.88,12.24,12.1,20,18.09
abalone-19_vs_10-11-12-13,0,0,0,0,0,5.13,0,0,0,4.74,3.43,5.81,0,0,12.12,6.9,0,4.81,4.81,7.84,13.33,4.81,5.71,5.03,0,0,0,0,0,0,0,0,0,6.08,0,5.64,0,5.93,5.62,4.73,12.9,5.97,5.63,5.9,5.87,5.41,7.32,5.9
abalone19,0,0,0,0,0,2.4,0,0,0,2.03,0.35,3.79,0,0,4.71,0,0,1.43,1.43,0,0,1.43,1.43,1.58,3.64,0,0,5.41,0,2.01,2.22,0,0,2.85,0,2.94,0,0,0,0,3.03,1.68,5.93,0,0,4.78,2,3.85
abalone9-18,0,9.84,10.71,10.17,12.5,11.19,12.4,20,10.17,10.6,10.61,21.43,13.16,17.54,18.18,17.39,11.11,8.7,9.58,15.79,14.46,8.7,10.46,19.05,13.86,13.59,13.59,13.59,13.33,9.3,12.6,13.59,13.46,11.51,12.61,13.73,23.53,21.28,20,16,15.69,15.84,12.9,19.35,20.83,16.28,12.9,24.49
car-vgood,64.29,55.17,53.33,57.14,54.55,22.22,72.73,51.61,53.33,28.57,25.81,47.06,94.12,94.12,87.5,94.12,94.12,94.12,17.2,86.49,94.12,94.12,45.07,94.12,76.19,76.19,76.19,76.19,76.19,43.24,76.19,76.19,76.19,0,76.19,78.05,100,100,100,100,100,26.23,36.78,84.21,100,36.36,45.07,100
dermatology-6,100,100,100,100,100,81.82,100,100,100,100,90,100,100,100,100,100,87.5,18.18,100,94.12,100,100,100,100,50,80,60,80,80,75,50,80,63.16,87.5,62.07,80,100,100,100,100,100,38.3,100,100,100,100,100,100
flare-F,0,19.35,20,20.69,19.05,26.09,0,25.45,26.67,25,25.35,28.12,0,25.64,27.78,26.32,22.86,26.92,0,33.33,26.32,5.14,14.77,27.78,16.55,21.28,24,30.3,16.13,7.23,16.55,25.58,23.16,0,23.08,31.88,0,25.53,26.09,26.09,25.4,7.23,0,28.57,26.67,24,25.32,32
glass-0-1-6_vs_2,0,44.44,16.67,22.22,0,23.53,18.18,14.29,30.77,21.05,21.88,32,0,0,42.86,20,0,20.69,0,0,36.36,25.93,22.58,25.93,0,0,0,0,0,22.58,0,0,0,22.22,22.86,29.27,0,21.62,21.05,22.22,20,30.77,0,25,22.86,0,21.54,26.42
glass2,0,12.5,13.33,13.33,0,24.49,16.67,14.81,13.33,16.67,0,28.57,0,0,0,0,0,28.57,0,16.67,0,25,6.67,32.43,22.22,0,0,0,0,23.73,22.22,25,0,22.58,0,37.84,0,25,0,0,0,21.74,0,20,0,12.9,20.59,26.32
