,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO
abalone-17_vs_7-8-9-10,0,75.33,75.01,73.14,64.05,61.32,60.15,79.62,74.46,53.91,59.26,80.69,51.87,78.28,80.36,74.65,75.04,16.01,16.01,78.72,81.36,16.01,65.97,73.32,68.82,63.91,57.1,66.59,59.96,64.05,66.63,66.07,54.69,69.3,60.27,69.08,65.66,79.26,78.72,77.72,76.91,90.66,45.13,76.14,79.53,78.24,51.18,85.86
abalone-19_vs_10-11-12-13,0,0,0,0,0,48.17,0,0,0,50.26,40.4,55.81,0,0,39.59,28.06,0,15.7,15.7,38.8,28.48,15.7,48.31,36.81,0,0,0,0,0,0,0,0,0,52.6,0,47.33,0,50.97,50.83,47.53,54.44,54.25,41.78,50.6,50.22,53.23,63.16,53.49
abalone19,0,0,0,0,0,43.97,0,0,0,55.5,24.52,66.55,0,0,45.59,0,0,8.48,8.48,0,0,8.48,8.93,32.82,32.62,0,0,45.8,0,43.32,32.14,0,0,70.87,0,71.67,0,0,0,0,53.13,31.74,63.2,0,0,73.45,58.13,77.79
abalone9-18,0,47.43,48.15,47.72,41.78,58.15,62.38,72.24,47.72,55.6,56.97,69.28,59.16,62.7,70.68,57.52,48.43,21.32,50.09,65.23,63.75,21.32,54.94,58.15,65.05,64.56,64.56,64.56,64.07,48.24,62.96,64.56,64.31,59.39,62.56,64.81,43.38,64.49,58.47,56.89,56.73,70.06,63.82,68.09,64.31,68.62,63.82,70.65
car-vgood,74.27,97.46,97.27,97.66,94.46,88.56,98.84,97.07,97.27,91.97,90.7,96.47,99.81,99.81,93.18,99.81,99.81,99.81,83.86,99.52,99.81,99.81,96.17,99.81,99.03,99.03,99.03,99.03,99.03,95.87,99.03,99.03,99.03,0,99.03,99.13,100,100,100,100,100,90.92,94.55,99.42,100,94.45,96.17,100
dermatology-6,100,100,100,100,100,98.13,100,100,100,100,99.07,100,100,100,100,100,87.37,50,100,93.84,100,100,100,100,76.98,80.51,78.57,80.51,80.51,97.18,76.98,80.51,78.96,87.37,94.77,80.51,100,100,100,100,100,85.53,100,100,100,100,100,100
flare-F,0,48.01,48.09,48.17,54.58,79.4,0,71.32,55.72,75.28,79.11,80.14,0,61.56,61.87,61.66,55.25,71.7,0,72.96,61.66,22.82,74.35,61.87,78.86,80.04,87.32,84.47,75,19.36,78.86,85.63,84.12,0,86.6,88.43,0,66.73,66.85,66.85,75.42,19.36,0,76.38,66.97,66.38,82.44,91.69
glass-0-1-6_vs_2,0,51.1,34.38,35.44,0,56.15,34.74,33.66,49.13,46.02,37.14,63.56,0,0,60.78,35.09,0,42.11,0,0,50.12,55.71,41.52,55.71,0,0,0,0,0,41.52,0,0,0,48.63,55.26,65.47,0,53.45,52.52,54.37,50.12,49.13,0,58.72,55.26,0,34.74,57.24
glass2,0,33.48,33.81,33.81,0,60.76,48.04,42.97,33.81,46.88,0,62.9,0,0,0,0,0,57.42,0,34.77,0,55.67,28.52,72.63,35.7,0,0,0,0,55.47,35.7,36.01,0,51.14,0,80.38,0,36.01,0,0,0,56.45,0,35.39,0,40.87,41.14,63.76
